icon_name,description
aws-timestream,An icon named 'aws-timestream' used in the Eraser.io interface for related functionality.
aws-database-migration-service,An icon named 'aws-database-migration-service' used in the Eraser.io interface for related functionality.
aws-corretto,An icon named 'aws-corretto' used in the Eraser.io interface for related functionality.
aws-cloud-control-api,An icon named 'aws-cloud-control-api' used in the Eraser.io interface for related functionality.
aws-cloud-development-kit,An icon named 'aws-cloud-development-kit' used in the Eraser.io interface for related functionality.
aws-cloud9,An icon named 'aws-cloud9' used in the Eraser.io interface for related functionality.
aws-cloudshell,An icon named 'aws-cloudshell' used in the Eraser.io interface for related functionality.
aws-codeartifact,An icon named 'aws-codeartifact' used in the Eraser.io interface for related functionality.
aws-codebuild,An icon named 'aws-codebuild' used in the Eraser.io interface for related functionality.
aws-codecommit,An icon named 'aws-codecommit' used in the Eraser.io interface for related functionality.
aws-codedeploy,An icon named 'aws-codedeploy' used in the Eraser.io interface for related functionality.
aws-codepipeline,An icon named 'aws-codepipeline' used in the Eraser.io interface for related functionality.
aws-codestar,An icon named 'aws-codestar' used in the Eraser.io interface for related functionality.
aws-command-line-interface,An icon named 'aws-command-line-interface' used in the Eraser.io interface for related functionality.
aws-tools-and-sdks,An icon named 'aws-tools-and-sdks' used in the Eraser.io interface for related functionality.
aws-x-ray,An icon named 'aws-x-ray' used in the Eraser.io interface for related functionality.
aws-appstream,An icon named 'aws-appstream' used in the Eraser.io interface for related functionality.
aws-worklink,An icon named 'aws-worklink' used in the Eraser.io interface for related functionality.
aws-workspaces,An icon named 'aws-workspaces' used in the Eraser.io interface for related functionality.
aws-workspaces-web,An icon named 'aws-workspaces-web' used in the Eraser.io interface for related functionality.
aws-location-service,An icon named 'aws-location-service' used in the Eraser.io interface for related functionality.
aws-amplify,An icon named 'aws-amplify' used in the Eraser.io interface for related functionality.
aws-device-farm,An icon named 'aws-device-farm' used in the Eraser.io interface for related functionality.
aws-gamelift,An icon named 'aws-gamelift' used in the Eraser.io interface for related functionality.
aws-gamesparks,An icon named 'aws-gamesparks' used in the Eraser.io interface for related functionality.
aws-gamekit,An icon named 'aws-gamekit' used in the Eraser.io interface for related functionality.
aws-open-3d-engine,An icon named 'aws-open-3d-engine' used in the Eraser.io interface for related functionality.
aws-marketplace,An icon named 'aws-marketplace' used in the Eraser.io interface for related functionality.
aws-iot-1-click,An icon named 'aws-iot-1-click' used in the Eraser.io interface for related functionality.
aws-iot-analytics,An icon named 'aws-iot-analytics' used in the Eraser.io interface for related functionality.
aws-iot-button,An icon named 'aws-iot-button' used in the Eraser.io interface for related functionality.
aws-iot-core,An icon named 'aws-iot-core' used in the Eraser.io interface for related functionality.
aws-iot-device-defender,An icon named 'aws-iot-device-defender' used in the Eraser.io interface for related functionality.
aws-iot-device-management,An icon named 'aws-iot-device-management' used in the Eraser.io interface for related functionality.
aws-iot-edukit,An icon named 'aws-iot-edukit' used in the Eraser.io interface for related functionality.
aws-iot-events,An icon named 'aws-iot-events' used in the Eraser.io interface for related functionality.
aws-iot-expresslink,An icon named 'aws-iot-expresslink' used in the Eraser.io interface for related functionality.
aws-iot-fleetwise,An icon named 'aws-iot-fleetwise' used in the Eraser.io interface for related functionality.
aws-iot-greengrass,An icon named 'aws-iot-greengrass' used in the Eraser.io interface for related functionality.
aws-iot-roborunner,An icon named 'aws-iot-roborunner' used in the Eraser.io interface for related functionality.
aws-iot-sitewise,An icon named 'aws-iot-sitewise' used in the Eraser.io interface for related functionality.
aws-iot-things-graph,An icon named 'aws-iot-things-graph' used in the Eraser.io interface for related functionality.
aws-iot-twinmaker,An icon named 'aws-iot-twinmaker' used in the Eraser.io interface for related functionality.
aws-freertos,An icon named 'aws-freertos' used in the Eraser.io interface for related functionality.
aws-augmented-ai-a2i,An icon named 'aws-augmented-ai-a2i' used in the Eraser.io interface for related functionality.
aws-codeguru,An icon named 'aws-codeguru' used in the Eraser.io interface for related functionality.
aws-codewhisperer,An icon named 'aws-codewhisperer' used in the Eraser.io interface for related functionality.
aws-comprehend,An icon named 'aws-comprehend' used in the Eraser.io interface for related functionality.
aws-comprehend-medical,An icon named 'aws-comprehend-medical' used in the Eraser.io interface for related functionality.
aws-devops-guru,An icon named 'aws-devops-guru' used in the Eraser.io interface for related functionality.
aws-elastic-inference,An icon named 'aws-elastic-inference' used in the Eraser.io interface for related functionality.
aws-forecast,An icon named 'aws-forecast' used in the Eraser.io interface for related functionality.
aws-fraud-detector,An icon named 'aws-fraud-detector' used in the Eraser.io interface for related functionality.
aws-healthlake,An icon named 'aws-healthlake' used in the Eraser.io interface for related functionality.
aws-kendra,An icon named 'aws-kendra' used in the Eraser.io interface for related functionality.
aws-lex,An icon named 'aws-lex' used in the Eraser.io interface for related functionality.
aws-lookout-for-equipment,An icon named 'aws-lookout-for-equipment' used in the Eraser.io interface for related functionality.
aws-lookout-for-metrics,An icon named 'aws-lookout-for-metrics' used in the Eraser.io interface for related functionality.
aws-lookout-for-vision,An icon named 'aws-lookout-for-vision' used in the Eraser.io interface for related functionality.
aws-monitron,An icon named 'aws-monitron' used in the Eraser.io interface for related functionality.
aws-personalize,An icon named 'aws-personalize' used in the Eraser.io interface for related functionality.
aws-polly,An icon named 'aws-polly' used in the Eraser.io interface for related functionality.
aws-rekognition,An icon named 'aws-rekognition' used in the Eraser.io interface for related functionality.
aws-sagemaker,An icon named 'aws-sagemaker' used in the Eraser.io interface for related functionality.
aws-sagemaker-ground-truth,An icon named 'aws-sagemaker-ground-truth' used in the Eraser.io interface for related functionality.
aws-sagemaker-studio-lab,An icon named 'aws-sagemaker-studio-lab' used in the Eraser.io interface for related functionality.
aws-textract,An icon named 'aws-textract' used in the Eraser.io interface for related functionality.
aws-transcribe,An icon named 'aws-transcribe' used in the Eraser.io interface for related functionality.
aws-translate,An icon named 'aws-translate' used in the Eraser.io interface for related functionality.
aws-apache-mxnet-on-aws,An icon named 'aws-apache-mxnet-on-aws' used in the Eraser.io interface for related functionality.
aws-deep-learning-amis,An icon named 'aws-deep-learning-amis' used in the Eraser.io interface for related functionality.
aws-deep-learning-containers,An icon named 'aws-deep-learning-containers' used in the Eraser.io interface for related functionality.
aws-deepcomposer,An icon named 'aws-deepcomposer' used in the Eraser.io interface for related functionality.
aws-deeplens,An icon named 'aws-deeplens' used in the Eraser.io interface for related functionality.
aws-deepracer,An icon named 'aws-deepracer' used in the Eraser.io interface for related functionality.
aws-neuron,An icon named 'aws-neuron' used in the Eraser.io interface for related functionality.
aws-panorama,An icon named 'aws-panorama' used in the Eraser.io interface for related functionality.
aws-tensorflow-on-aws,An icon named 'aws-tensorflow-on-aws' used in the Eraser.io interface for related functionality.
aws-torchserve,An icon named 'aws-torchserve' used in the Eraser.io interface for related functionality.
aws-cloudwatch,An icon named 'aws-cloudwatch' used in the Eraser.io interface for related functionality.
aws-managed-grafana,An icon named 'aws-managed-grafana' used in the Eraser.io interface for related functionality.
aws-managed-service-for-prometheus,An icon named 'aws-managed-service-for-prometheus' used in the Eraser.io interface for related functionality.
aws-appconfig,An icon named 'aws-appconfig' used in the Eraser.io interface for related functionality.
aws-application-auto-scaling,An icon named 'aws-application-auto-scaling' used in the Eraser.io interface for related functionality.
aws-auto-scaling,An icon named 'aws-auto-scaling' used in the Eraser.io interface for related functionality.
aws-backint-agent,An icon named 'aws-backint-agent' used in the Eraser.io interface for related functionality.
aws-chatbot,An icon named 'aws-chatbot' used in the Eraser.io interface for related functionality.
aws-cloudformation,An icon named 'aws-cloudformation' used in the Eraser.io interface for related functionality.
aws-cloudtrail,An icon named 'aws-cloudtrail' used in the Eraser.io interface for related functionality.
aws-config,An icon named 'aws-config' used in the Eraser.io interface for related functionality.
aws-control-tower,An icon named 'aws-control-tower' used in the Eraser.io interface for related functionality.
aws-distro-for-opentelemetry,An icon named 'aws-distro-for-opentelemetry' used in the Eraser.io interface for related functionality.
aws-fault-injection-simulator,An icon named 'aws-fault-injection-simulator' used in the Eraser.io interface for related functionality.
aws-launch-wizard,An icon named 'aws-launch-wizard' used in the Eraser.io interface for related functionality.
aws-license-manager,An icon named 'aws-license-manager' used in the Eraser.io interface for related functionality.
aws-management-console,An icon named 'aws-management-console' used in the Eraser.io interface for related functionality.
aws-opsworks,An icon named 'aws-opsworks' used in the Eraser.io interface for related functionality.
aws-organizations,An icon named 'aws-organizations' used in the Eraser.io interface for related functionality.
aws-personal-health-dashboard,An icon named 'aws-personal-health-dashboard' used in the Eraser.io interface for related functionality.
aws-proton,An icon named 'aws-proton' used in the Eraser.io interface for related functionality.
aws-resilience-hub,An icon named 'aws-resilience-hub' used in the Eraser.io interface for related functionality.
aws-service-catalog,An icon named 'aws-service-catalog' used in the Eraser.io interface for related functionality.
aws-systems-manager,An icon named 'aws-systems-manager' used in the Eraser.io interface for related functionality.
aws-systems-manager-incident-manager,An icon named 'aws-systems-manager-incident-manager' used in the Eraser.io interface for related functionality.
aws-trusted-advisor,An icon named 'aws-trusted-advisor' used in the Eraser.io interface for related functionality.
aws-well-architected-tool,An icon named 'aws-well-architected-tool' used in the Eraser.io interface for related functionality.
aws-elastic-transcoder,An icon named 'aws-elastic-transcoder' used in the Eraser.io interface for related functionality.
aws-interactive-video-service,An icon named 'aws-interactive-video-service' used in the Eraser.io interface for related functionality.
aws-nimble-studio,An icon named 'aws-nimble-studio' used in the Eraser.io interface for related functionality.
aws-elemental-appliances-&-software,An icon named 'aws-elemental-appliances-&-software' used in the Eraser.io interface for related functionality.
aws-elemental-conductor,An icon named 'aws-elemental-conductor' used in the Eraser.io interface for related functionality.
aws-elemental-delta,An icon named 'aws-elemental-delta' used in the Eraser.io interface for related functionality.
aws-elemental-link,An icon named 'aws-elemental-link' used in the Eraser.io interface for related functionality.
aws-elemental-live,An icon named 'aws-elemental-live' used in the Eraser.io interface for related functionality.
aws-elemental-mediaconnect,An icon named 'aws-elemental-mediaconnect' used in the Eraser.io interface for related functionality.
aws-elemental-mediaconvert,An icon named 'aws-elemental-mediaconvert' used in the Eraser.io interface for related functionality.
aws-elemental-medialive,An icon named 'aws-elemental-medialive' used in the Eraser.io interface for related functionality.
aws-elemental-mediapackage,An icon named 'aws-elemental-mediapackage' used in the Eraser.io interface for related functionality.
aws-elemental-mediastore,An icon named 'aws-elemental-mediastore' used in the Eraser.io interface for related functionality.
aws-elemental-mediatailor,An icon named 'aws-elemental-mediatailor' used in the Eraser.io interface for related functionality.
aws-elemental-server,An icon named 'aws-elemental-server' used in the Eraser.io interface for related functionality.
aws-application-discovery-service,An icon named 'aws-application-discovery-service' used in the Eraser.io interface for related functionality.
aws-application-migration-service,An icon named 'aws-application-migration-service' used in the Eraser.io interface for related functionality.
aws-datasync,An icon named 'aws-datasync' used in the Eraser.io interface for related functionality.
aws-mainframe-modernization,An icon named 'aws-mainframe-modernization' used in the Eraser.io interface for related functionality.
aws-migration-evaluator,An icon named 'aws-migration-evaluator' used in the Eraser.io interface for related functionality.
aws-migration-hub,An icon named 'aws-migration-hub' used in the Eraser.io interface for related functionality.
aws-server-migration-service,An icon named 'aws-server-migration-service' used in the Eraser.io interface for related functionality.
aws-transfer-family,An icon named 'aws-transfer-family' used in the Eraser.io interface for related functionality.
aws-cloud-directory,An icon named 'aws-cloud-directory' used in the Eraser.io interface for related functionality.
aws-cloudfront,An icon named 'aws-cloudfront' used in the Eraser.io interface for related functionality.
aws-route-53,An icon named 'aws-route-53' used in the Eraser.io interface for related functionality.
aws-virtual-private-cloud,An icon named 'aws-virtual-private-cloud' used in the Eraser.io interface for related functionality.
aws-app-mesh,An icon named 'aws-app-mesh' used in the Eraser.io interface for related functionality.
aws-client-vpn,An icon named 'aws-client-vpn' used in the Eraser.io interface for related functionality.
aws-cloud-map,An icon named 'aws-cloud-map' used in the Eraser.io interface for related functionality.
aws-cloud-wan,An icon named 'aws-cloud-wan' used in the Eraser.io interface for related functionality.
aws-direct-connect,An icon named 'aws-direct-connect' used in the Eraser.io interface for related functionality.
aws-global-accelerator,An icon named 'aws-global-accelerator' used in the Eraser.io interface for related functionality.
aws-private-5g,An icon named 'aws-private-5g' used in the Eraser.io interface for related functionality.
aws-privatelink,An icon named 'aws-privatelink' used in the Eraser.io interface for related functionality.
aws-site-to-site-vpn,An icon named 'aws-site-to-site-vpn' used in the Eraser.io interface for related functionality.
aws-transit-gateway,An icon named 'aws-transit-gateway' used in the Eraser.io interface for related functionality.
aws-elastic-load-balancing,An icon named 'aws-elastic-load-balancing' used in the Eraser.io interface for related functionality.
aws-braket,An icon named 'aws-braket' used in the Eraser.io interface for related functionality.
aws-robomaker,An icon named 'aws-robomaker' used in the Eraser.io interface for related functionality.
aws-ground-station,An icon named 'aws-ground-station' used in the Eraser.io interface for related functionality.
aws-cognito,An icon named 'aws-cognito' used in the Eraser.io interface for related functionality.
aws-detective,An icon named 'aws-detective' used in the Eraser.io interface for related functionality.
aws-guardduty,An icon named 'aws-guardduty' used in the Eraser.io interface for related functionality.
aws-inspector,An icon named 'aws-inspector' used in the Eraser.io interface for related functionality.
aws-macie,An icon named 'aws-macie' used in the Eraser.io interface for related functionality.
aws-artifact,An icon named 'aws-artifact' used in the Eraser.io interface for related functionality.
aws-audit-manager,An icon named 'aws-audit-manager' used in the Eraser.io interface for related functionality.
aws-certificate-manager,An icon named 'aws-certificate-manager' used in the Eraser.io interface for related functionality.
aws-cloudhsm,An icon named 'aws-cloudhsm' used in the Eraser.io interface for related functionality.
aws-directory-service,An icon named 'aws-directory-service' used in the Eraser.io interface for related functionality.
aws-firewall-manager,An icon named 'aws-firewall-manager' used in the Eraser.io interface for related functionality.
aws-iam-identity-center,An icon named 'aws-iam-identity-center' used in the Eraser.io interface for related functionality.
aws-identity-and-access-management,An icon named 'aws-identity-and-access-management' used in the Eraser.io interface for related functionality.
aws-key-management-service,An icon named 'aws-key-management-service' used in the Eraser.io interface for related functionality.
aws-network-firewall,An icon named 'aws-network-firewall' used in the Eraser.io interface for related functionality.
aws-resource-access-manager,An icon named 'aws-resource-access-manager' used in the Eraser.io interface for related functionality.
aws-secrets-manager,An icon named 'aws-secrets-manager' used in the Eraser.io interface for related functionality.
aws-security-hub,An icon named 'aws-security-hub' used in the Eraser.io interface for related functionality.
aws-shield,An icon named 'aws-shield' used in the Eraser.io interface for related functionality.
aws-signer,An icon named 'aws-signer' used in the Eraser.io interface for related functionality.
aws-waf,An icon named 'aws-waf' used in the Eraser.io interface for related functionality.
aws-efs,An icon named 'aws-efs' used in the Eraser.io interface for related functionality.
aws-elastic-block-store,An icon named 'aws-elastic-block-store' used in the Eraser.io interface for related functionality.
aws-fsx,An icon named 'aws-fsx' used in the Eraser.io interface for related functionality.
aws-fsx-for-lustre,An icon named 'aws-fsx-for-lustre' used in the Eraser.io interface for related functionality.
aws-fsx-for-netapp-ontap,An icon named 'aws-fsx-for-netapp-ontap' used in the Eraser.io interface for related functionality.
aws-fsx-for-openzfs,An icon named 'aws-fsx-for-openzfs' used in the Eraser.io interface for related functionality.
aws-fsx-for-wfs,An icon named 'aws-fsx-for-wfs' used in the Eraser.io interface for related functionality.
aws-s3-on-outposts,An icon named 'aws-s3-on-outposts' used in the Eraser.io interface for related functionality.
aws-simple-storage-service,An icon named 'aws-simple-storage-service' used in the Eraser.io interface for related functionality.
aws-simple-storage-service-glacier,An icon named 'aws-simple-storage-service-glacier' used in the Eraser.io interface for related functionality.
aws-backup,An icon named 'aws-backup' used in the Eraser.io interface for related functionality.
aws-snowball,An icon named 'aws-snowball' used in the Eraser.io interface for related functionality.
aws-snowball-edge,An icon named 'aws-snowball-edge' used in the Eraser.io interface for related functionality.
aws-snowcone,An icon named 'aws-snowcone' used in the Eraser.io interface for related functionality.
aws-snowmobile,An icon named 'aws-snowmobile' used in the Eraser.io interface for related functionality.
aws-storage-gateway,An icon named 'aws-storage-gateway' used in the Eraser.io interface for related functionality.
aws-cloudendure-disaster-recovery,An icon named 'aws-cloudendure-disaster-recovery' used in the Eraser.io interface for related functionality.
aws-sumerian,An icon named 'aws-sumerian' used in the Eraser.io interface for related functionality.
aws-analytics,An icon named 'aws-analytics' used in the Eraser.io interface for related functionality.
aws-application-integration,An icon named 'aws-application-integration' used in the Eraser.io interface for related functionality.
aws-blockchain,An icon named 'aws-blockchain' used in the Eraser.io interface for related functionality.
aws-business-applications,An icon named 'aws-business-applications' used in the Eraser.io interface for related functionality.
aws-cloud-financial-management,An icon named 'aws-cloud-financial-management' used in the Eraser.io interface for related functionality.
aws-compute,An icon named 'aws-compute' used in the Eraser.io interface for related functionality.
aws-containers,An icon named 'aws-containers' used in the Eraser.io interface for related functionality.
aws-customer-enablement,An icon named 'aws-customer-enablement' used in the Eraser.io interface for related functionality.
aws-database,An icon named 'aws-database' used in the Eraser.io interface for related functionality.
aws-developer-tools,An icon named 'aws-developer-tools' used in the Eraser.io interface for related functionality.
aws-end-user-computing,An icon named 'aws-end-user-computing' used in the Eraser.io interface for related functionality.
aws-front-end-web-mobile,An icon named 'aws-front-end-web-mobile' used in the Eraser.io interface for related functionality.
aws-game-tech,An icon named 'aws-game-tech' used in the Eraser.io interface for related functionality.
aws-internet-of-things,An icon named 'aws-internet-of-things' used in the Eraser.io interface for related functionality.
aws-machine-learning,An icon named 'aws-machine-learning' used in the Eraser.io interface for related functionality.
aws-management-governance,An icon named 'aws-management-governance' used in the Eraser.io interface for related functionality.
aws-media-services,An icon named 'aws-media-services' used in the Eraser.io interface for related functionality.
aws-migration-transfer,An icon named 'aws-migration-transfer' used in the Eraser.io interface for related functionality.
aws-networking-content-delivery,An icon named 'aws-networking-content-delivery' used in the Eraser.io interface for related functionality.
aws-quantum-technologies,An icon named 'aws-quantum-technologies' used in the Eraser.io interface for related functionality.
aws-robotics,An icon named 'aws-robotics' used in the Eraser.io interface for related functionality.
aws-satellite,An icon named 'aws-satellite' used in the Eraser.io interface for related functionality.
aws-security-identity-compliance,An icon named 'aws-security-identity-compliance' used in the Eraser.io interface for related functionality.
aws-serverless,An icon named 'aws-serverless' used in the Eraser.io interface for related functionality.
aws-storage,An icon named 'aws-storage' used in the Eraser.io interface for related functionality.
aws-vr-ar,An icon named 'aws-vr-ar' used in the Eraser.io interface for related functionality.
gcp-access-context-manager,An icon named 'gcp-access-context-manager' used in the Eraser.io interface for related functionality.
gcp-administration,An icon named 'gcp-administration' used in the Eraser.io interface for related functionality.
